x1,x2,x3,x4,x5,x6,x7,output
-3,-3,D,3.333333333333333,0.6666666666666661,2,bb,non_event
2.666666666666666,-0.666666666666667,A,-1.3333333333333335,-1.666666666666667,-2,aa,non_event
-4,-0.666666666666667,B,0,4,2.666666666666666,aa,non_event
-3.3333333333333335,1.666666666666666,D,1.666666666666666,-3.6666666666666665,-3,aa,non_event
3.333333333333333,-0.666666666666667,E,2.333333333333333,-3,-3.6666666666666665,aa,non_event
-3.3333333333333335,-0.3333333333333335,A,-1.3333333333333335,3.333333333333333,-2.3333333333333335,aa,non_event
2.666666666666666,1,D,3.666666666666666,0,-2.3333333333333335,aa,event
3.666666666666666,-2,B,-2.3333333333333335,3.333333333333333,-2,aa,event
0.6666666666666661,3.333333333333333,E,-2.666666666666667,-3.3333333333333335,1.666666666666666,aa,non_event
-3,2,E,-3.6666666666666665,-2.666666666666667,-1,aa,event
-0.3333333333333335,1.333333333333333,D,-2.666666666666667,3,-2.666666666666667,aa,non_event
-0.666666666666667,-3.6666666666666665,B,2.666666666666666,-2.666666666666667,-1,bb,non_event
3.333333333333333,-0.3333333333333335,E,0.33333333333333304,2.666666666666666,-0.3333333333333335,aa,non_event
3,2,E,1.666666666666666,0.33333333333333304,-1.666666666666667,bb,event
0.33333333333333304,-0.3333333333333335,A,1.333333333333333,2,4,aa,non_event
1,3.333333333333333,B,2.333333333333333,2,3.666666666666666,aa,non_event
2.333333333333333,-4,D,1.333333333333333,2,-3,aa,non_event
2,2,A,0.33333333333333304,-1,0.6666666666666661,bb,event
-2.3333333333333335,-1.3333333333333335,A,-2.666666666666667,0.33333333333333304,-0.666666666666667,bb,non_event
-3.6666666666666665,-3.3333333333333335,D,0.33333333333333304,1.333333333333333,3,bb,event
4,-4,D,-4,3.666666666666666,2.333333333333333,aa,non_event
-1,3.333333333333333,D,3,0.33333333333333304,-3.6666666666666665,aa,event
2,2.333333333333333,E,2.666666666666666,-1,-3.3333333333333335,bb,event
4,-3.6666666666666665,C,0.6666666666666661,-2,0.33333333333333304,bb,non_event
1.333333333333333,-3.6666666666666665,E,-1,-0.666666666666667,1.333333333333333,aa,event
0.6666666666666661,1,B,-4,1.333333333333333,-1.666666666666667,bb,event
-3.3333333333333335,3.666666666666666,D,2,-2,-4,bb,non_event
-2,2.333333333333333,B,-3.6666666666666665,0.33333333333333304,1.333333333333333,bb,non_event
-0.666666666666667,0.33333333333333304,B,-4,-0.666666666666667,1,bb,non_event
-1.666666666666667,-3,E,0,2.333333333333333,2.666666666666666,aa,event
3.333333333333333,0.33333333333333304,A,-1,1.666666666666666,-2.3333333333333335,bb,event
